22:22:18.926 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:22:18.948 |I| Launcher                       | :1                             | Starting RiderFlow frontend
22:22:18.959 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
22:22:18.965 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
22:22:18.976 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
22:22:18.977 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 35663
22:22:18.979 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | ServerSocket-UnityServer : accepting, port: 35663
22:22:27.502 |I| Launcher                       | :1                             | Creating Root ScriptableObject
22:22:27.507 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
22:22:27.508 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
22:22:27.509 |I| Launcher                       | :1                             | Subscribing for events
22:22:28.796 |I| Launcher                       | :1                             | Start running backend
22:22:36.328 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
22:22:36.338 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
22:22:36.836 |V| Launcher                       | :1                             | Ready!
22:22:42.904 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | ServerSocket-UnityServer : accepted
22:22:42.904 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | ServerSocket-UnityServer : connected
22:22:42.908 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:20 | RESUME :: state=AsyncProcessing
22:38:11.923 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
22:38:11.990 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
22:38:12.003 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
22:38:12.003 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
22:38:12.004 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
22:38:12.037 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
22:38:12.051 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | ServerSocket-UnityServer: Total traffic: sent 1279, received 48901
22:38:12.051 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:20 | ServerSocket-UnityServer: terminated.
22:38:12.052 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
22:38:21.590 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:38:21.604 |I| Launcher                       | :1                             | Starting RiderFlow frontend
22:38:21.612 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
22:38:21.613 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
22:38:21.614 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
22:38:21.614 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 46769
22:38:21.616 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:31 | ServerSocket-UnityServer : accepting, port: 46769
22:38:22.362 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:31 | ServerSocket-UnityServer : accepted
22:38:22.362 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:31 | ServerSocket-UnityServer : connected
22:38:22.365 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:31 | RESUME :: state=AsyncProcessing
22:38:25.632 |I| Launcher                       | :1                             | Creating Root ScriptableObject
22:38:25.634 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
