01:04:51.018 |I| Core                           | RequestBuilder thread:10       | MsBuild process with Id = 2412
01:04:51.020 |I| Core                           | RequestBuilder thread:10       | MsBuild location = /run/host/usr/share/dotnet/sdk/7.0.302/MSBuild.dll
01:04:51.020 |I| Core                           | RequestBuilder thread:10       | ServerGC = False
01:04:51.020 |I| Core                           | RequestBuilder thread:10       | 
01:04:51.020 |I| Core                           | RequestBuilder thread:10       | Start ControllerTask...
01:04:51.021 |I| Core                           | RequestBuilder thread:10       | Detected version: 17.6
01:04:51.022 |I| Core                           | RequestBuilder thread:10       | Creating SocketWire with port = 33641
01:04:51.033 |I| Core                           | RequestBuilder thread:10       | Create protocol...
01:04:51.057 |I| Core                           | RequestBuilder thread:10       | Create MsBuildModel and advise for new sessions...
01:04:51.075 |I| Core                           | RequestBuilder thread:10       | Subscribe for changes...
01:04:51.075 |I| Core                           | RequestBuilder thread:10       | Setup process watchdog...
01:04:51.076 |I| Core                           | RequestBuilder thread:10       | Run dispatcher...
01:04:51.077 |I| ProcessWatchdog                | WatchParentPid:2352:15         | Monitoring parent process PID:2352
01:04:51.152 |I| Core                           | RequestBuilder thread:10       | Get protocol session 'RdProjectModelSession'
01:04:51.155 |I| Core                           | RequestBuilder thread:10       | Msbuild session 'ProjectModelSessionHost' created
01:04:51.192 |I| ProjectModel                   | RequestBuilder thread:10       | Reloading 30 project(s) in 4 node(s)...
01:04:51.192 |I| ProjectModel                   | RequestBuilder thread:10       | Reason: ColdStartup
01:04:51.195 |I| Build                          | MSBuild LoggingService events queue pump: 28805302:17 | Build started.
01:04:51.198 |I| BuildQueue                     | RequestBuilder thread:10       | Build queue: False
01:04:51.678 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEngine.TestRunner.csproj
01:04:51.680 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
01:04:51.697 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:51.698 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TextMeshPro.Editor.csproj
01:04:51.699 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TextMeshPro.Editor.csproj' with 1 target frameworks
01:04:51.701 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:51.701 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Assembly-CSharp.csproj
01:04:51.701 |I| Build                          | RequestBuilder thread:10       | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
01:04:51.878 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:51.880 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEditor.UI.csproj
01:04:51.880 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEditor.UI.csproj' with 1 target frameworks
01:04:51.881 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:51.881 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.SettingsProvider.Editor.csproj
01:04:51.881 |I| Build                          | .NET ThreadPool Worker:18      | Finish build part [1/1] for project 'UnityEngine.TestRunner.csproj': Success
01:04:51.881 |I| Build                          | .NET ThreadPool Worker:18      | Finish build project 'UnityEngine.TestRunner.csproj': Success
01:04:51.882 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.SettingsProvider.Editor.csproj' with 1 target frameworks
01:04:52.076 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.078 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEngine.UI.csproj
01:04:52.078 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEngine.UI.csproj' with 1 target frameworks
01:04:52.264 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.266 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj
01:04:52.266 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj' with 1 target frameworks
01:04:52.267 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.268 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\UnityEditor.TestRunner.csproj
01:04:52.268 |I| Build                          | RequestBuilder thread:10       | Start build 'UnityEditor.TestRunner.csproj' with 1 target frameworks
01:04:52.269 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.269 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.PlasticSCM.Editor.csproj
01:04:52.269 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.PlasticSCM.Editor.csproj' with 1 target frameworks
01:04:52.270 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.271 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.Flow.csproj
01:04:52.271 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.Flow.csproj' with 1 target frameworks
01:04:52.273 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.273 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.EditorCoroutines.Editor.csproj
01:04:52.273 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.EditorCoroutines.Editor.csproj' with 1 target frameworks
01:04:52.274 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.274 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TestTools.CodeCoverage.Editor.csproj
01:04:52.274 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TestTools.CodeCoverage.Editor.csproj' with 1 target frameworks
01:04:52.279 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.279 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.State.csproj
01:04:52.280 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.State.csproj' with 1 target frameworks
01:04:52.281 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.281 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.Rider.Editor.csproj
01:04:52.281 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.Rider.Editor.csproj' with 1 target frameworks
01:04:52.283 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.283 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.Settings.Editor.csproj
01:04:52.283 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.Settings.Editor.csproj' with 1 target frameworks
01:04:52.284 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.285 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.Core.Editor.csproj
01:04:52.286 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.Core.Editor.csproj' with 1 target frameworks
01:04:52.289 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.290 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.Performance.Profile-Analyzer.Editor.csproj
01:04:52.290 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.Performance.Profile-Analyzer.Editor.csproj' with 1 target frameworks
01:04:52.291 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.292 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.Core.csproj
01:04:52.292 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.Core.csproj' with 1 target frameworks
01:04:52.294 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.295 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.CollabProxy.Editor.csproj
01:04:52.295 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.CollabProxy.Editor.csproj' with 1 target frameworks
01:04:52.297 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.297 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VSCode.Editor.csproj
01:04:52.297 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VSCode.Editor.csproj' with 1 target frameworks
01:04:52.299 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.300 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualScripting.Flow.Editor.csproj
01:04:52.300 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualScripting.Flow.Editor.csproj' with 1 target frameworks
01:04:52.302 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.303 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TextMeshPro.csproj
01:04:52.303 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TextMeshPro.csproj' with 1 target frameworks
01:04:52.305 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.318 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.TestTools.CodeCoverage.Editor.OpenCover.Mono.Reflection.csproj
01:04:52.318 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Mono.Reflection.csproj' with 1 target frameworks
01:04:52.323 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
01:04:52.324 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \home\olaf\Documents\air\robotic_arm\robotic_arm\Unity.VisualStudio.Editor.csproj
01:04:52.325 |I| Build                          | RequestBuilder thread:10       | Start build 'Unity.VisualStudio.Editor.csproj' with 1 target frameworks
